"","X","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster","numVotes_sq","bo_and_num"
"103",266,21,332200000,123100000,209100000,93,6.7,92998,"3","7",8648628004,1952958
"104",268,22,252400000,65800000,186600000,113,5.8,84382,"4","7",7120321924,1856404
"105",269,22,190200000,73200000,117000000,112,5.8,116013,"4","4",13459016169,2552286
"106",270,22,1.99e+08,93400000,105700000,101,6.1,99334,"4","4",9867243556,2185348
"107",271,22,213700000,102600000,111100000,170,7.5,311799,"2","6",97218616401,6859578
"108",272,22,190300000,158100000,32200000,113,6.4,152313,"3","7",23199249969,3350886
"109",273,22,181700000,60700000,121000000,98,5.6,93109,"5","4",8669285881,2048398
"110",275,22,260100000,127000000,133100000,112,7,322788,"3","7",104192092944,7101336
"111",276,22,347500000,71000000,276500000,105,5.3,34787,"3","7",1210135369,765314
"112",277,23,2.47e+08,111000000,136000000,129,6.7,155744,"3","7",24256193536,3582112
"113",278,23,183600000,67000000,116700000,100,4.9,32352,"5","4",1046651904,744096
"114",279,23,176100000,113000000,63200000,87,4.7,39465,"5","3",1557486225,907695
"115",280,23,196400000,96400000,100000000,112,6.8,240523,"3","7",57851313529,5532029
"116",281,23,195700000,135600000,60100000,106,6.2,193502,"4","7",37443024004,4450546
"117",282,23,186400000,119500000,66900000,136,7.8,215458,"3","2",46422149764,4955534
"118",283,23,292800000,119400000,173400000,88,5.1,39812,"3","7",1584995344,915676
"119",284,23,180600000,64000000,116500000,126,7,278874,"3","2",77770707876,6414102
"120",285,23,242700000,143200000,99600000,115,7.1,137974,"3","7",19036824676,3173402
"121",286,23,356700000,126600000,230100000,110,6.2,152631,"3","7",23296222161,3510513
"122",288,23,245700000,123500000,122200000,107,7.2,218851,"3","7",47895760201,5033573
"123",290,23,362600000,101200000,261400000,138,5.8,231422,"3","7",53556142084,5322706
"124",291,24,383900000,152900000,231000000,102,6.7,62471,"3","7",3902625841,1499304
"125",292,24,225200000,74000000,151200000,106,6,27169,"4","4",738154561,652056
"126",293,24,193900000,118900000,75000000,124,6.4,97789,"3","2",9562688521,2346936
"127",294,24,228700000,115800000,112900000,114,5.2,211710,"3","7",44821124100,5081040
"128",295,24,190200000,138600000,51600000,98,5.8,88028,"4","4",7748928784,2112672
"129",296,24,203600000,51900000,151700000,126,6.3,153069,"3","2",23430118761,3673656
"130",297,24,178300000,90700000,87600000,83,5,107820,"5","4",11625152400,2587680
"131",298,24,2.42e+08,101700000,140300000,93,5.8,105924,"4","7",11219893776,2542176
"132",299,24,178100000,83000000,95000000,134,7.7,303245,"3","6",91957530025,7277880
"133",300,24,2.67e+08,104400000,162600000,97,7.1,112142,"3","7",12575828164,2691408
"134",301,24,293500000,118300000,175200000,100,6.4,279706,"3","7",78235446436,6712944
"135",302,24,304700000,67300000,237300000,98,5.3,190090,"3","7",36134208100,4562160
"136",304,24,352300000,107500000,244800000,97,6.3,72063,"3","7",5193075969,1729512
"137",305,25,381500000,114600000,267000000,118,4.6,83465,"3","7",6966406225,2086625
"138",306,25,3.72e+08,100400000,271600000,105,4.5,45827,"3","7",2100113929,1145675
"139",308,25,1.73e+08,108600000,64400000,144,7.7,343697,"3","6",118127627809,8592425
"140",309,25,182300000,75800000,106400000,88,5,38727,"5","4",1499780529,968175
"141",311,25,178100000,64700000,113500000,85,6.6,104286,"4","4",10875569796,2607150
"142",312,25,219100000,148800000,70300000,129,6.9,334921,"3","6",112172076241,8373025
"143",313,25,227800000,98800000,129000000,119,5.8,149638,"4","7",22391531044,3740950
"144",314,25,288300000,95300000,193000000,146,4.4,70080,"3","7",4911206400,1752000
"145",316,25,346900000,153700000,193200000,92,6.5,64384,"3","7",4145299456,1609600
"146",317,25,3.15e+08,85000000,229900000,103,6.6,279967,"3","7",78381521089,6999175
"147",318,25,193400000,96400000,97100000,121,7.5,65083,"3","2",4235796889,1627075
"148",319,26,365600000,117500000,248100000,96,5.4,98345,"3","7",9671739025,2556970
"149",320,26,165300000,108200000,57100000,111,6.3,118121,"4","2",13952570641,3071146
"150",321,26,1.81e+08,104500000,76500000,117,7.7,230431,"3","2",53098445761,5991206
"151",322,26,196500000,120900000,75600000,99,6.8,307654,"3","7",94650983716,7999004
"152",323,26,162900000,35800000,127100000,136,6.8,289904,"3","2",84044329216,7537504
"153",324,26,230700000,130300000,100400000,110,6.5,192121,"3","7",36910478641,4995146
"154",326,26,2.43e+08,124900000,118100000,90,6.9,188991,"3","7",35717598081,4913766
"155",327,26,278300000,67600000,210700000,103,6,209184,"3","7",43757945856,5438784
"156",328,26,226900000,83500000,143400000,110,6,154178,"4","7",23770855684,4008628
"157",329,26,306900000,103400000,203500000,97,7.3,146923,"3","7",21586367929,3819998
"158",331,26,331300000,191700000,139600000,112,7,323997,"3","7",104974056009,8423922
"159",332,26,343500000,158800000,184600000,122,7.1,212814,"3","7",45289798596,5533164
"160",333,26,287500000,184300000,103200000,115,6.4,132698,"3","7",17608759204,3450148
